Mall,Category,Store,Area
Grand Indonesia,Fast food,Hokben (Under Renovation),FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Hokkaido Ya,West Mall level 3A
Grand Indonesia,Fast food,Hong Tang,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Ikkudo Ichi,West Mall level LG
Grand Indonesia,Standard restaurant,Ippudo,West Mall level 3A
Grand Indonesia,Standard restaurant,J.CO Donuts & Coffee,West Mall level LG
Grand Indonesia,Fast food,Java Kitchen,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Jiguang,East Mall level 5
Grand Indonesia,Standard restaurant,Jittlada,Skybridge level 3A
Grand Indonesia,Fast food,Just Coco,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Kafe Betawi,West Mall level LG
Grand Indonesia,High-end restaurant,Karnivor,East Mall level 5
Grand Indonesia,Standard restaurant,Katsukita,West Mall level 5
Grand Indonesia,Standard restaurant,Kaybee’s,East Mall level LG
Grand Indonesia,Pastry & Bakery,Kempi Deli,East Mall level 2
Grand Indonesia,Fast food,KFC,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Kimukatsu,East Mall level 3A
Grand Indonesia,Standard restaurant,Kin Khao,East Mall level Ground
Grand Indonesia,All-you-can-eat & Grill,Kintan Buffet,West Mall level 3A
Grand Indonesia,Beverages only,KOI Thé,West Mall level 3A
Grand Indonesia,Beverages only,Kopi Kenangan,East Mall level 2
Grand Indonesia,Pastry & Bakery,Krispy Kreme,West Mall level LG
Grand Indonesia,Cafe,Kurasu Coffee,West Mall level 1
Grand Indonesia,Fast food,Kwetiau 28 AHO,FOODPRINT (West Mall level 5)
Grand Indonesia,Pastry & Bakery,La Maison,West Mall level LG
Grand Indonesia,Standard restaurant,Lamian Palace,Skybridge level 5
Grand Indonesia,Standard restaurant,Leten by Paradise Dynasty,West Mall level 3A
Grand Indonesia,Standard restaurant,Little Red Dot,West Mall level 3A
Grand Indonesia,Standard restaurant,Macanria,West Mall level LG
Grand Indonesia,Desserts,Mack's Creamery,East Mall level 5
Grand Indonesia,Beverages only,Mad Milk,East Mall level LG
Grand Indonesia,Light bites,Maeko Sando,West Mall level LG
Grand Indonesia,Standard restaurant,Mamaroz,West Mall level 5
Grand Indonesia,Fast food,Manggang,FOODPRINT (West Mall level 5)
Grand Indonesia,High-end restaurant,Markette,East Mall level Ground
Grand Indonesia,Standard restaurant,Marugame Udon,West Mall level 3A
Grand Indonesia,Standard restaurant,Milou Farm House,East Mall level UG
Grand Indonesia,Desserts,Momoiro,West Mall level LG
Grand Indonesia,Standard restaurant,Monster Curry,East Mall level 3A
Grand Indonesia,Standard restaurant,My Eureka,West Mall level 3A
Grand Indonesia,Fast food,Nasi Karanjang,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Nona Rasa,East Mall level 5
Grand Indonesia,Fast food,Noodle King Express,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Ohayo Rice Bar,West Mall level 3A
Grand Indonesia,Standard restaurant,Oma Elly,West Mall level LG
Grand Indonesia,Standard restaurant,Oshu-san,West Mall level 3A
Grand Indonesia,High-end restaurant,Pancious,West Mall level 3A
Grand Indonesia,Standard restaurant,Pandan Soedji,East Mall level LG
Grand Indonesia,Standard restaurant,PAUL,West Mall level Ground
Grand Indonesia,Pastry & Bakery,PAUL BAKERY,West Mall level LG
Grand Indonesia,High-end restaurant,Paulaner Brauhaus,East Mall level 2
Grand Indonesia,Standard restaurant,Pepper Lunch,West Mall level 3A
Grand Indonesia,Fast food,Pho 24,FOODPRINT (West Mall level 5)
Grand Indonesia,Beverages only,Pipiltin Cocoa,West Mall level 3
Grand Indonesia,Standard restaurant,Pizza Marzano,West Mall level LG
Grand Indonesia,Standard restaurant,Pizzeria Cavalese Alta,East Mall level LG
Grand Indonesia,Standard restaurant,Ramen Girl,East Mall level LG
Grand Indonesia,Standard restaurant,RamenYa! (Under Renovation),Skybridge level 5
Grand Indonesia,Beverages only,Re.Juve (Under Renovation),West Mall level LG
Grand Indonesia,High-end restaurant,Remboelan,Skybridge level 3A
Grand Indonesia,Standard restaurant,Rempah Bistro,West Mall level 5
Grand Indonesia,Light bites,Renyah Koenyah,West Mall level 5
Grand Indonesia,Pastry & Bakery,Roti Kebanggaan Gading Serpong,East Mall level 5
Grand Indonesia,Standard restaurant,Royce,West Mall level LG
Grand Indonesia,Standard restaurant,Royce,East Mall level LG
Grand Indonesia,Standard restaurant,Saigon Delight,East Mall level 3A
Grand Indonesia,Standard restaurant,SaladStop!,West Mall level LG
Grand Indonesia,Standard restaurant,Samwon,Skybridge level 3A
Grand Indonesia,Standard restaurant,Santhai,West Mall level LG
Grand Indonesia,Fast food,Sari Ratu,FOODPRINT (West Mall level 5)
Grand Indonesia,Fast food,Sari Sanjaya,FOODPRINT (West Mall level 5)
Grand Indonesia,High-end restaurant,Sate & Seafood Senayan,Skybridge level 5
Grand Indonesia,Standard restaurant,Saturdays F&B,East Mall level 3A
Grand Indonesia,Cafe,Second Floor Coffee,West Mall level UG
Grand Indonesia,Cafe,Second Floor Coffee,East Mall level 3
Grand Indonesia,Fast food,Seporsi Mie Kari,FOODPRINT (West Mall level 5)
Grand Indonesia,All-you-can-eat & Grill,Shabu Shabu Letasu,West Mall level 3A
Grand Indonesia,Fast food,Shake Shake In A Tub,FOODPRINT (West Mall level 5)
Grand Indonesia,Fast food,Shigeru,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Shihlin,West Mall level 3A
Grand Indonesia,Pastry & Bakery,Shokupan Bakery,West Mall level LG
Grand Indonesia,Light bites,Shushu,West Mall level LG
Grand Indonesia,High-end restaurant,Social House,East Mall level 1
Grand Indonesia,Standard restaurant,Song Fa Bak Kut Teh (Under Renovation),Skybridge level 3A
Grand Indonesia,Fast food,Soto Betawi H. Mamat,FOODPRINT (West Mall level 5)
Grand Indonesia,Desserts,Sour Sally,West Mall level LG
Grand Indonesia,Cafe,Starbucks Coffee,West Mall level 1
Grand Indonesia,Cafe,Starbucks Coffee,East Mall level 3
Grand Indonesia,Cafe,Starbucks Reserve,West Mall level Ground
Grand Indonesia,Standard restaurant,Subway,West Mall level LG
Grand Indonesia,Fast food,Sugakiya,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Super Grain,West Mall level 3A
Grand Indonesia,Standard restaurant,Sushi GO!,West Mall level 5
Grand Indonesia,Standard restaurant,Sushi Hiro (Under Renovation),Skybridge level 3A
Grand Indonesia,Standard restaurant,Sushi Tei,West Mall level LG
Grand Indonesia,Standard restaurant,Sushiro,East Mall level 5
Grand Indonesia,Standard restaurant,Taeyang Sung,East Mall level LG
Grand Indonesia,Standard restaurant,Taliwang Bali,Skybridge level 5
Grand Indonesia,Cafe,Tanamera,West Mall level LG
Grand Indonesia,Standard restaurant,Taqueria El Guapo,East Mall level 5
Grand Indonesia,Beverages only,Teazzi,West Mall level 5
Grand Indonesia,Standard restaurant,The Buffalo Express,West Mall level LG
Grand Indonesia,Cafe,The Coffee Bean & Tea Leaf,West Mall level LG
Grand Indonesia,Fast food,The Halal Guys,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,The Pancake CO.,West Mall level LG
Grand Indonesia,Standard restaurant,The People’s Café,West Mall level 5
Grand Indonesia,Light bites,Three Uncles Express,West Mall level LG
Grand Indonesia,Standard restaurant,Tom Sushi,East Mall level 3A
Grand Indonesia,Standard restaurant,Tom Tom,Skybridge level 5
Grand Indonesia,Pastry & Bakery,Tous Les Jours,West Mall level LG
Grand Indonesia,Desserts,Udders,East Mall level LG
Grand Indonesia,Desserts,Uji Matcha,West Mall level LG
Grand Indonesia,High-end restaurant,Union Deli,East Mall level Ground
Grand Indonesia,Standard restaurant,Vines,East Mall level LG
Grand Indonesia,Standard restaurant,Vineyard,East Mall level LG
Grand Indonesia,Desserts,Warabimochi Kamakura,East Mall level 3A
Grand Indonesia,Cafe,Waroeng Kopi,West Mall level 3
Grand Indonesia,Standard restaurant,Warung Leko,East Mall level 3A
Grand Indonesia,Standard restaurant,Wee Nam Kee,East Mall level 3A
Grand Indonesia,Fast food,Wingstop,FOODPRINT (West Mall level 5)
Grand Indonesia,Fast food,Ya Kun Kaya Toast,FOODPRINT (West Mall level 5)
Grand Indonesia,Standard restaurant,Yakiniku Like,West Mall level 5
Grand Indonesia,Beverages only,Yao Yao,East Mall level 5
Grand Indonesia,Standard restaurant,Yoguchi,East Mall level 5
Grand Indonesia,Standard restaurant,Yoshinoya,West Mall level 3A
Grand Indonesia,Standard restaurant,You Ma You La,West Mall level 3A
Grand Indonesia,Standard restaurant,Zushiku,West Mall level LG
